"","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","case","death"
"219","2020-09-20",-8,-1,133,-33,-4,1,1044,5
"220","2020-09-21",-13,-2,85,-46,-35,9,863,6
"221","2020-09-22",-15,-1,83,-46,-34,9,875,6
"222","2020-09-23",-17,-3,65,-47,-33,10,1766,11
"223","2020-09-24",-15,-1,65,-46,-32,10,1248,6
"224","2020-09-25",-17,-3,73,-45,-32,9,1090,9
"225","2020-09-26",-14,0,113,-35,-2,3,1341,6
"226","2020-09-27",-11,-1,123,-36,-3,2,1362,6
"227","2020-09-28",-16,-2,67,-47,-33,9,1215,7
"228","2020-09-29",-16,0,52,-48,-32,10,1454,5
"229","2020-09-30",-15,0,32,-47,-33,10,2176,10
"230","2020-10-01",-15,2,52,-47,-31,10,1660,13
"231","2020-10-02",-20,-3,36,-46,-30,11,1797,6
"232","2020-10-03",-16,0,83,-36,-6,5,1777,22
"233","2020-10-04",-16,-2,59,-41,-9,4,2124,90
"234","2020-10-05",-17,-1,53,-47,-33,10,1812,53
"235","2020-10-06",-18,1,57,-47,-32,10,1685,19
"236","2020-10-07",-20,-2,29,-49,-32,11,2804,23
"237","2020-10-08",-16,2,43,-47,-31,10,2363,26
"238","2020-10-09",-19,3,43,-46,-32,11,1800,11
"239","2020-10-10",-21,3,71,-39,-8,6,2436,13
"240","2020-10-11",-21,-2,81,-43,-10,3,2558,30
"241","2020-10-12",-43,-29,107,-66,-77,20,2062,23
"242","2020-10-13",-22,-2,29,-49,-33,11,1685,5
"243","2020-10-14",-20,-2,45,-47,-32,11,975,16
"244","2020-10-15",-20,-3,22,-49,-31,12,4042,24
"245","2020-10-16",-22,-4,14,-48,-30,12,2504,10
"246","2020-10-17",-18,-1,59,-38,-6,7,2345,35
"247","2020-10-18",-19,-5,45,-43,-9,6,2376,23
"248","2020-10-19",-22,-7,6,-51,-33,12,2215,23
"249","2020-10-20",-19,0,29,-49,-31,11,1827,14
"250","2020-10-21",-22,-4,12,-49,-31,12,3289,18
"251","2020-10-22",-19,-2,28,-47,-31,12,2251,15
"252","2020-10-23",-22,-5,41,-46,-31,12,2672,35
"253","2020-10-24",-19,0,36,-39,-6,7,2788,33
"254","2020-10-25",-18,-4,42,-42,-9,5,2584,25
"255","2020-10-26",-21,-7,5,-50,-32,12,2227,32
"256","2020-10-27",-22,-3,6,-49,-31,12,2145,23
"257","2020-10-28",-19,-1,17,-47,-30,11,4109,27
"258","2020-10-29",-17,0,8,-49,-30,11,2674,28
"259","2020-10-30",-20,1,2,-47,-29,11,2699,28
"260","2020-10-31",-19,4,36,-35,-5,6,2956,42
"261","2020-11-01",-21,-5,8,-44,-11,6,3457,36
"262","2020-11-02",-22,-7,1,-51,-32,11,3445,25
"263","2020-11-03",-23,-5,-1,-51,-31,12,3244,42
"264","2020-11-04",-23,-6,18,-49,-31,12,3273,26
"265","2020-11-05",-20,-4,30,-49,-30,12,2974,71
"266","2020-11-06",-22,-4,29,-47,-29,12,3283,57
"267","2020-11-07",-20,-4,63,-39,-6,7,3922,45
"268","2020-11-08",-18,-6,87,-41,-10,5,3669,54
"269","2020-11-09",-21,-6,35,-51,-33,12,4246,54
"270","2020-11-10",-19,-1,48,-49,-32,11,4594,31
"271","2020-11-11",-25,-7,24,-55,-47,16,4086,42
"272","2020-11-12",-21,-3,7,-51,-32,13,4302,68
"273","2020-11-13",-23,-4,-7,-50,-32,14,4559,53
"274","2020-11-14",-21,-2,11,-43,-8,8,4981,83
"275","2020-11-15",-25,-11,-13,-50,-13,7,4741,60
"276","2020-11-16",-24,-9,-14,-54,-32,13,5267,62
"277","2020-11-17",-25,-7,-9,-53,-32,13,4805,62
"278","2020-11-18",-25,-7,-14,-53,-31,13,4802,73
"279","2020-11-19",-22,-4,-1,-52,-31,13,4276,57
"280","2020-11-20",-22,-3,7,-50,-31,13,4641,98
"281","2020-11-21",-20,0,9,-43,-7,8,4642,79
"282","2020-11-22",-26,-10,-14,-50,-13,8,4968,69
"283","2020-11-23",-26,-10,-15,-55,-33,13,5705,72
"284","2020-11-24",-25,-5,-14,-55,-32,13,5418,47
"285","2020-11-25",-28,-10,-14,-54,-32,14,5713,63
"286","2020-11-26",-22,-3,-11,-53,-32,13,4889,96
"287","2020-11-27",-23,-3,-11,-51,-32,14,5022,92
"288","2020-11-28",-23,-1,10,-45,-8,9,5631,87
"289","2020-11-29",-22,-5,25,-48,-12,7,5967,94
"290","2020-11-30",-24,-7,-19,-55,-34,13,6496,93
"291","2020-12-01",-27,-5,-9,-55,-34,14,6476,73
"292","2020-12-02",-25,-3,-5,-53,-32,14,6103,65
"293","2020-12-03",-23,-1,-2,-53,-31,14,5329,81
"294","2020-12-04",-27,-6,-13,-53,-31,15,6307,114
"295","2020-12-05",-25,-1,6,-45,-9,9,6493,82
"296","2020-12-06",-26,-7,6,-50,-14,8,6300,88
